Name,Rating
"
                    JW Cafe
                ", 4.5
"
                    Barbeque Nation
                ", 4.7
"
                    Mabruk - The Mediterranean 
                ", 4.6
"
                    Romano's
                ", 4.7
"
                    Peshwa Pavilion
                ", 4.3
"
                    Bombay High
                ", 4.8
"
                    Nawab Saheb
                ", 4.4
"
                    Ummrao
                ", 4.3
"
                    Chaayos
                ", 4.0
"
                    The Earth Plate - Global Cuisine 
                ", 4.3
